OBJECTID,Enabled,Shape_Length
1,1,270.5490855
2,1,1003.094103
3,1,921.8658143
4,1,104.1912103
5,1,120.8616755
6,1,79.10192286
7,1,42.23982493
8,1,36.1864524
9,1,46.52614348
10,1,44.90075846
11,1,151.5737334
12,1,800.4372629
13,1,81.75209095
14,1,289.5134954
15,1,861.7938341
16,1,500.9808157
17,1,132.6332038
18,1,103.8806723
19,1,95.54997298
20,1,216.497097
21,1,321.0761319
22,1,17.6943436
23,1,27.66315943
24,1,85.20281696
25,1,257.0360217
26,1,144.9014833
27,1,113.9994179
28,1,220.0321964
29,1,100.4436483
30,1,59.20490686
31,1,86.38041918
32,1,56.23714478
33,1,985.9296877
34,1,236.793457
35,1,346.3557853
36,1,571.4818482
37,1,171.5730826
38,1,30.37993966
39,1,476.497015
40,1,128.2451088
41,1,104.5429384
42,1,21.62342313
43,1,23.72503668
44,1,489.6124478
45,1,426.7354789
46,1,144.7169383
47,1,271.1753876
48,1,93.18134436
49,1,589.1723032
50,1,111.0345158
51,1,353.2985309
52,1,360.798622
53,1,257.5378349
54,1,322.4631888
55,1,10.82137204
56,1,139.4310993
57,1,385.2515275
58,1,272.0012109
59,1,189.872865
60,1,19.47097878
61,1,480.7780031
62,1,38.79722886
63,1,50.39975607
64,1,42.13350998
65,1,39.94247562
66,1,82.22244672
67,1,120.3783984
68,1,386.834467
69,1,189.008178
70,1,193.2075275
71,1,126.2924625
72,1,212.1349227
73,1,49.49119331
74,1,357.0537964
75,1,63.1064068
76,1,25.64758106
77,1,134.9960445
78,1,45.06894306
79,1,135.0704133
80,1,364.7390126
81,1,637.5669168
82,1,72.69664499
83,1,95.47383372
84,1,190.2483051
85,1,194.4740848
86,1,40.19279548
87,1,113.7714915
88,1,60.87175433
89,1,211.0465711
90,1,628.0553415
91,1,368.5904444
92,1,318.4675881
93,1,163.757291
94,1,46.82811728
95,1,74.64379189
96,1,374.2666702
97,1,41.57857201
98,1,32.3440118
99,1,1910.570285
100,1,429.1351945
101,1,253.1370349
102,1,251.3934555
103,1,428.2518689
104,1,116.8821556
105,1,231.4060239
106,1,78.35074358
107,1,241.0632903
108,1,945.6658358
109,1,162.6125273
110,1,141.6949568
111,1,104.3044513
112,1,266.4963246
113,1,22.04869981
114,1,8.069426484
115,1,139.8755661
116,1,254.6869834
117,1,214.4288256
118,1,499.2182894
119,1,1445.281991
120,1,117.2604522
121,1,525.6328575
122,1,10.68370955
123,1,759.176946
124,1,449.3624483
125,1,241.4003787
126,1,621.9055745
127,1,66.1843774
128,1,59.55065386
129,1,759.1675616
130,1,219.111156
131,1,60.53195367
132,1,66.36955747
133,1,124.2342948
134,1,248.2799558
135,1,802.6210395
136,1,1070.297623
137,1,1543.450449
138,1,1311.678111
139,1,583.8503777
140,1,179.9225788
141,1,108.3767428
142,1,65.58515329
143,1,111.6876114
144,1,221.5542514
145,1,63.25653424
146,1,30.48900425
147,1,392.0486433
148,1,834.1022959
149,1,448.6127207
150,1,19.76800759
151,1,4154.584251
152,1,1102.085827
153,1,196.8384843
154,1,886.2201636
155,1,18.69383705
156,1,1164.40324
157,1,818.8441589
158,1,1651.013607
159,1,641.7237531
160,1,37.74349637
161,1,37.30897036
162,1,53.68712531
163,1,61.39077836
164,1,67.16619089
165,1,877.6558896
166,1,1153.709886
167,1,289.6036771
168,1,532.4895913
169,1,218.2588716
170,1,185.3154338
171,1,253.332177
172,1,553.3277907
173,1,130.4601035
174,1,467.240987
175,1,493.6604929
176,1,466.5011937
177,1,592.967953
178,1,565.6935282
179,1,11.80283932
180,1,107.731171
181,1,123.0119107
182,1,355.3099325
183,1,80.81541226
184,1,366.0131397
185,1,2407.229335
186,1,121.7460761
187,1,323.5884103
188,1,149.461973
189,1,130.2014569
190,1,80.62011801
191,1,14.68097491
192,1,63.25904846
193,1,84.86763612
194,1,275.4364993
195,1,105.4668016
196,1,163.9079934
197,1,45.37962768
198,1,141.3156278
199,1,290.1115578
200,1,473.0471834
201,1,155.0925567
202,1,803.8417039
203,1,278.7112095
204,1,32.09893241
205,1,181.8241778
206,1,309.49222
207,1,91.67684958
208,1,307.3897976
209,1,426.5048083
210,1,390.6158095
211,1,36.05541126
212,1,257.7369756
213,1,700.1117813
214,1,171.301752
215,1,282.8876211
216,1,80.39199874
217,1,10.16608979
218,1,8.860182715
219,1,53.59630111
220,1,10.4053133
221,1,63.6058324
222,1,74.56914703
223,1,372.0749987
224,1,127.0867477
225,1,248.2216538
226,1,346.6153693
227,1,50.02034442
228,1,831.7713736
229,1,745.1689335
230,1,401.4453621
231,1,746.6117892
232,1,281.8828759
233,1,39.61460985
234,1,184.7508917
235,1,765.0249868
236,1,78.93038115
237,1,39.53893145
238,1,1496.966757
239,1,1115.252892
240,1,177.4802765
241,1,409.7743326
242,1,37.37857649
243,1,397.3088956
244,1,65.9049564
245,1,156.4978435
246,1,222.1336351
247,1,33.54551607
248,1,158.0879401
249,1,169.0077032
250,1,189.1106964
251,1,262.4892858
252,1,304.1777114
253,1,32.44524198
254,1,135.9199234
255,1,435.0041579
256,1,841.9311986
