Junction,DS,US
1,217,212
2,216,217
3,215,216
4,214,215
5,213,214
6,91,88
7,90,89
8,89,91
9,239,237
10,238,239
11,257,256
12,235,233
13,234,235
14,236,234
15,157,155
16,182,175
17,181,182
18,180,181
19,183,180
20,184,183
21,178,184
22,179,178
23,177,179
24,176,177
25,126,125
26,11,2
27,10,11
28,9,10
29,8,9
30,7,8
31,6,7
32,13,6
33,12,13
34,5,12
35,4,5
36,3,4
37,121,120
39,101,93
40,97,101
41,96,97
42,95,96
43,94,95
44,98,94
45,100,98
46,99,100
47,51,52
48,50,51
49,48,50
50,47,48
51,49,47
52,45,49
53,44,45
54,46,44
55,43,46
56,42,43
57,41,42
58,80,79
59,253,244
60,255,253
61,254,255
62,251,254
63,250,251
64,252,250
65,249,252
66,248,249
67,247,248
68,246,247
69,245,246
70,105,104
71,108,105
72,107,106
73,115,116
74,118,117
75,117,119
76,119,114
77,112,109
78,111,112
79,110,111
80,124,123
81,166,165
82,165,164
83,164,163
84,163,162
85,162,161
86,123,122
87,17,15
88,16,17
89,20,16
90,19,20
91,18,19
92,25,18
93,24,25
94,23,24
95,22,23
96,21,22
97,27,26
98,198,189
99,200,198
100,199,200
101,194,199
102,193,194
103,192,193
104,191,192
105,190,191
106,197,190
107,52,40
108,106,108
109,116,118
110,156,157
111,242,240
112,241,242
113,74,72
114,73,74
115,71,69
116,70,71
117,227,226
118,231,230
119,65,64
120,62,60
121,61,62
122,211,210
123,152,149
124,151,152
125,150,151
126,141,139
127,140,141
128,146,145
129,258,257
130,129,127
131,128,129
132,132,130
133,131,132
134,209,207
135,208,209
136,196,195
137,195,197
138,169,167
139,168,169
140,170,168
141,171,170
142,172,171
146,237,90
146,237,92
147,88,103
147,88,213
148,256,236
148,256,238
149,212,53
149,212,113
154,155,232
154,155,258
156,154,156
156,154,229
160,206,39
160,206,55
161,175,154
161,175,206
164,160,1
164,160,3
165,79,41
165,79,82
166,244,80
166,244,99
169,109,107
169,109,115
171,174,176
171,174,185
173,125,174
173,125,186
175,120,159
175,120,160
177,243,221
177,243,245
179,240,102
179,240,110
180,142,218
180,142,243
182,143,142
182,143,219
185,144,143
185,144,220
187,147,56
187,147,144
189,148,147
189,148,222
190,149,148
190,149,223
192,122,121
192,122,126
193,167,124
193,167,166
194,139,150
194,139,241
200,127,172
200,127,173
202,69,68
202,69,73
203,130,128
203,130,196
204,207,131
204,207,204
206,138,140
206,138,208
207,225,67
207,225,70
209,224,57
209,224,59
210,226,224
210,226,225
212,145,138
212,145,227
214,153,146
214,153,228
218,86,85
218,86,87
220,83,84
220,83,86
223,77,78
223,77,83
225,76,77
225,76,81
226,230,76
229,34,31
229,34,33
232,137,153
232,137,205
233,26,14
233,26,21
236,28,27
236,28,29
240,64,66
240,64,231
241,60,63
241,60,65
242,201,28
242,201,32
242,201,34
243,210,58
243,210,61
245,136,137
245,136,201
248,134,135
248,134,188
249,135,136
249,135,203
250,133,134
250,133,202
251,158,133
251,158,187
252,36,54
252,36,211
253,203,35
253,203,37
255,35,36
255,35,38
