Junction,DS,US
164,158,1
26,11,2
164,158,3
36,3,4
35,4,5
32,13,6
31,6,7
30,7,8
29,8,9
28,9,10
27,10,11
34,5,12
33,12,13
233,26,14
87,17,15
89,20,16
88,16,17
92,25,18
91,18,19
90,19,20
233,26,21
96,21,22
95,22,23
94,23,24
93,24,25
97,27,26
236,28,27
242,199,28
236,28,29
229,33,30
242,199,31
229,33,32
242,199,33
253,201,34
255,34,35
253,201,36
255,34,37
160,204,38
107,51,39
165,77,40
57,40,41
56,41,42
54,45,43
53,43,44
55,42,45
51,48,46
50,46,47
52,44,48
49,47,49
48,49,50
47,50,51
149,210,52
252,35,53
160,204,54
187,145,55
209,222,56
243,208,57
209,222,58
120,61,59
243,208,60
121,60,61
241,59,62
119,64,63
241,59,64
240,63,65
207,223,66
202,68,67
115,70,68
207,223,69
116,69,70
113,73,71
202,68,72
114,72,73
226,228,74
225,74,75
223,75,76
58,78,77
166,242,78
225,74,79
165,77,80
223,75,81
220,81,82
218,84,83
220,81,84
218,84,85
6,89,86
7,88,87
146,235,88
8,87,89
146,235,90
39,99,91
44,96,92
43,92,93
42,93,94
41,94,95
45,98,96
166,242,97
46,97,98
40,95,99
179,238,100
147,86,101
70,103,102
71,106,103
72,105,104
169,107,105
108,104,106
77,110,107
179,238,108
79,108,109
78,109,110
149,210,111
76,117,112
169,107,113
73,113,114
74,116,115
109,114,116
75,115,117
37,119,118
192,120,119
86,121,120
80,122,121
193,165,122
25,124,123
192,120,124
130,127,125
203,128,126
131,126,127
132,130,128
204,205,129
133,129,130
251,156,131
250,131,132
248,132,133
249,133,134
245,134,135
212,143,136
126,139,137
206,136,138
127,138,139
182,141,140
185,142,141
187,145,142
128,144,143
214,151,144
189,146,145
190,147,146
123,150,147
194,137,148
125,148,149
124,149,150
232,135,151
161,173,152
15,155,153
156,152,154
110,154,155
175,118,157
175,118,158
85,160,159
84,161,160
83,162,161
82,163,162
81,164,163
193,165,164
138,167,165
140,168,166
139,166,167
141,169,168
142,170,169
200,125,170
200,125,171
173,123,172
16,180,173
171,172,174
24,174,175
22,177,176
23,175,177
19,181,178
18,178,179
17,179,180
20,182,181
21,176,182
171,172,183
173,123,184
251,156,185
248,132,186
98,196,187
106,195,188
105,188,189
104,189,190
103,190,191
102,191,192
136,194,193
203,128,194
137,193,195
99,198,196
101,192,197
100,197,198
245,134,199
250,131,200
249,133,201
204,205,202
232,135,203
161,173,204
134,207,205
206,136,206
135,206,207
122,209,208
252,35,209
1,215,210
147,86,211
5,211,212
4,212,213
3,213,214
2,214,215
180,140,216
182,141,217
185,142,218
177,241,219
189,146,220
190,147,221
210,224,222
210,224,223
117,225,224
212,143,225
214,151,226
156,152,227
118,229,228
240,63,229
154,153,230
12,233,231
14,234,232
13,232,233
148,254,234
9,237,235
148,254,236
10,236,237
111,240,238
194,137,239
112,239,240
180,140,241
59,251,242
177,241,243
69,243,244
68,244,245
67,245,246
66,246,247
64,250,248
63,248,249
65,247,250
60,253,251
62,249,252
61,252,253
11,255,254
129,256,255
154,153,256
