OBJECTID,BARRIER_FID,perm
1,1,0
2,2,0
3,3,0.8
4,4,0
5,5,0.8
6,6,0.8
7,7,0.8
8,8,0
9,9,0.5
10,10,0.5
11,11,0.5
12,12,0
13,13,0.5
14,14,0.5
15,15,0
16,16,0.5
17,17,0.5
18,18,0.5
19,19,0
20,20,0.5
21,21,0.5
22,22,0.5
23,23,0.5
24,24,0.5
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0.8
35,35,0.8
36,36,0.8
37,37,0.5
38,38,0.8
39,39,0.8
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0.8
45,45,0
46,46,0.8
47,47,0
48,48,0
49,49,0
50,50,0
51,51,0
52,52,0
53,53,0.8
54,54,0
55,55,0.8
56,56,0.8
57,57,0
58,58,0.8
59,59,0
60,60,0
61,61,0.8
62,62,0.5
63,63,0
64,64,0
65,65,0.5
66,66,0.5
67,67,0.5
68,68,0.5
69,69,0.5
70,70,0
71,71,0.5
72,72,0.5
73,73,0
74,74,0.5
75,75,0.5
76,76,0.5
77,77,0.5
78,78,0.5
79,79,0.5
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
96,96,0
97,97,0.5
98,98,0
99,99,0
100,100,0
101,101,0
102,102,0
103,103,0.8
104,104,0
105,105,0
106,106,0.8
107,107,0
108,108,0.5
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,0
115,115,0
116,116,0
117,117,0
118,118,0.5
119,119,0.5
120,120,0.5
121,121,0.8
122,122,0
123,123,0.5
124,124,0.5
125,125,0
126,126,0
127,127,0
128,128,0
129,129,0.5
130,130,0
131,131,0.8
132,132,0.8
133,133,0
134,134,0.8
135,135,0.8
136,136,0
137,137,0
138,138,0
139,139,0.8
140,140,0
141,141,0.8
142,142,0.8
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,0,1
158,0,1
159,0,1
160,0,1
161,0,1
162,0,1
163,0,1
164,0,1
165,0,1
166,0,1
167,0,1
168,0,1
169,0,1
170,0,1
171,0,1
172,0,1
173,0,1
174,0,1
175,0,1
176,0,1
177,0,1
178,0,1
179,0,1
180,0,1
181,0,1
182,0,1
183,0,1
184,0,1
185,0,1
186,0,1
187,0,1
188,0,1
189,0,1
190,0,1
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,0,1
197,0,1
198,0,1
199,0,1
200,0,1
201,0,1
202,0,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,0,1
211,0,1
212,0,1
213,0,1
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,0,1
231,0,1
232,0,1
233,0,1
234,0,1
235,0,1
236,0,1
237,0,1
238,0,1
239,0,1
240,0,1
241,0,1
242,0,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
