OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,DS,US
1,1,212,0,1,217,212
2,1,217,0,1,217,0
3,2,216,0,1,216,0
4,2,217,0,1,216,217
5,3,215,0,1,215,0
6,3,216,0,1,215,216
7,4,214,0,1,214,0
8,4,215,0,1,214,215
9,5,213,0,1,213,0
10,5,214,0,1,213,214
11,6,88,0,1,91,88
12,6,91,0,1,91,0
13,7,89,0,1,90,89
14,7,90,0,1,90,0
15,8,89,0,1,89,0
16,8,91,0,1,89,91
17,9,237,0,1,239,237
18,9,239,0,1,239,0
19,10,238,0,1,238,0
20,10,239,0,1,238,239
21,11,256,0,1,257,256
22,11,257,0,1,257,0
23,12,233,0,1,235,233
24,12,235,0,1,235,0
25,13,234,0,1,234,0
26,13,235,0,1,234,235
27,14,234,0,1,236,234
28,14,236,0,1,236,0
29,15,155,0,1,157,155
30,15,157,0,1,157,0
31,16,175,0,1,182,175
32,16,182,0,1,182,0
33,17,181,0,1,181,0
34,17,182,0,1,181,182
35,18,180,0,1,180,0
36,18,181,0,1,180,181
37,19,180,0,1,183,180
38,19,183,0,1,183,0
39,20,183,0,1,184,183
40,20,184,0,1,184,0
41,21,178,0,1,178,0
42,21,184,0,1,178,184
43,22,178,0,1,179,178
44,22,179,0,1,179,0
45,23,177,0,1,177,0
46,23,179,0,1,177,179
47,24,176,0,1,176,0
48,24,177,0,1,176,177
49,25,125,0,1,126,125
50,25,126,0,1,126,0
51,26,2,0,1,11,2
52,26,11,0,1,11,0
53,27,10,0,1,10,0
54,27,11,0,1,10,11
55,28,9,0,1,9,0
56,28,10,0,1,9,10
57,29,8,0,1,8,0
58,29,9,0,1,8,9
59,30,7,0,1,7,0
60,30,8,0,1,7,8
61,31,6,0,1,6,0
62,31,7,0,1,6,7
63,32,6,0,1,13,6
64,32,13,0,1,13,0
65,33,12,0,1,12,0
66,33,13,0,1,12,13
67,34,5,0,1,5,0
68,34,12,0,1,5,12
69,35,4,0,1,4,0
70,35,5,0,1,4,5
71,36,3,0,1,3,0
72,36,4,0,1,3,4
73,37,120,0,1,121,120
74,37,121,0,1,121,0
75,38,93,0,1,93,0
76,39,93,0,1,101,93
77,39,101,0,1,101,0
78,40,97,0,1,97,0
79,40,101,0,1,97,101
80,41,96,0,1,96,0
81,41,97,0,1,96,97
82,42,95,0,1,95,0
83,42,96,0,1,95,96
84,43,94,0,1,94,0
85,43,95,0,1,94,95
86,44,94,0,1,98,94
87,44,98,0,1,98,0
88,45,98,0,1,100,98
89,45,100,0,1,100,0
90,46,99,0,1,99,0
91,46,100,0,1,99,100
92,47,51,0,1,51,0
93,47,52,0,1,51,52
94,48,50,0,1,50,0
95,48,51,0,1,50,51
96,49,48,0,1,48,0
97,49,50,0,1,48,50
98,50,47,0,1,47,0
99,50,48,0,1,47,48
100,51,47,0,1,49,47
101,51,49,0,1,49,0
102,52,45,0,1,45,0
103,52,49,0,1,45,49
104,53,44,0,1,44,0
105,53,45,0,1,44,45
106,54,44,0,1,46,44
107,54,46,0,1,46,0
108,55,43,0,1,43,0
109,55,46,0,1,43,46
110,56,42,0,1,42,0
111,56,43,0,1,42,43
112,57,41,0,1,41,0
113,57,42,0,1,41,42
114,58,79,0,1,80,79
115,58,80,0,1,80,0
116,59,244,0,1,253,244
117,59,253,0,1,253,0
118,60,253,0,1,255,253
119,60,255,0,1,255,0
120,61,254,0,1,254,0
121,61,255,0,1,254,255
122,62,251,0,1,251,0
123,62,254,0,1,251,254
124,63,250,0,1,250,0
125,63,251,0,1,250,251
126,64,250,0,1,252,250
127,64,252,0,1,252,0
128,65,249,0,1,249,0
129,65,252,0,1,249,252
130,66,248,0,1,248,0
131,66,249,0,1,248,249
132,67,247,0,1,247,0
133,67,248,0,1,247,248
134,68,246,0,1,246,0
135,68,247,0,1,246,247
136,69,245,0,1,245,0
137,69,246,0,1,245,246
138,70,104,0,1,105,104
139,70,105,0,1,105,0
140,71,105,0,1,108,105
141,71,108,0,1,108,0
142,72,106,0,1,107,106
143,72,107,0,1,107,0
144,73,115,0,1,115,0
145,73,116,0,1,115,116
146,74,117,0,1,118,117
147,74,118,0,1,118,0
148,75,117,0,1,117,0
149,75,119,0,1,117,119
150,76,114,0,1,119,114
151,76,119,0,1,119,0
152,77,109,0,1,112,109
153,77,112,0,1,112,0
154,78,111,0,1,111,0
155,78,112,0,1,111,112
156,79,110,0,1,110,0
157,79,111,0,1,110,111
158,80,123,0,1,124,123
159,80,124,0,1,124,0
160,81,165,0,1,166,165
161,81,166,0,1,166,0
162,82,164,0,1,165,164
163,82,165,0,1,165,0
164,83,163,0,1,164,163
165,83,164,0,1,164,0
166,84,162,0,1,163,162
167,84,163,0,1,163,0
168,85,161,0,1,162,161
169,85,162,0,1,162,0
170,86,122,0,1,123,122
171,86,123,0,1,123,0
172,87,15,0,1,17,15
173,87,17,0,1,17,0
174,88,16,0,1,16,0
175,88,17,0,1,16,17
176,89,16,0,1,20,16
177,89,20,0,1,20,0
178,90,19,0,1,19,0
179,90,20,0,1,19,20
180,91,18,0,1,18,0
181,91,19,0,1,18,19
182,92,18,0,1,25,18
183,92,25,0,1,25,0
184,93,24,0,1,24,0
185,93,25,0,1,24,25
186,94,23,0,1,23,0
187,94,24,0,1,23,24
188,95,22,0,1,22,0
189,95,23,0,1,22,23
190,96,21,0,1,21,0
191,96,22,0,1,21,22
192,97,26,0,1,27,26
193,97,27,0,1,27,0
194,98,189,0,1,198,189
195,98,198,0,1,198,0
196,99,198,0,1,200,198
197,99,200,0,1,200,0
198,100,199,0,1,199,0
199,100,200,0,1,199,200
200,101,194,0,1,194,0
201,101,199,0,1,194,199
202,102,193,0,1,193,0
203,102,194,0,1,193,194
204,103,192,0,1,192,0
205,103,193,0,1,192,193
206,104,191,0,1,191,0
207,104,192,0,1,191,192
208,105,190,0,1,190,0
209,105,191,0,1,190,191
210,106,190,0,1,197,190
211,106,197,0,1,197,0
212,107,40,0,1,52,40
213,107,52,0,1,52,0
214,108,106,0,1,106,0
215,108,108,0,1,106,108
216,109,116,0,1,116,0
217,109,118,0,1,116,118
218,110,156,0,1,156,0
219,110,157,0,1,156,157
220,111,240,0,1,242,240
221,111,242,0,1,242,0
222,112,241,0,1,241,0
223,112,242,0,1,241,242
224,113,72,0,1,74,72
225,113,74,0,1,74,0
226,114,73,0,1,73,0
227,114,74,0,1,73,74
228,115,69,0,1,71,69
229,115,71,0,1,71,0
230,116,70,0,1,70,0
231,116,71,0,1,70,71
232,117,226,0,1,227,226
233,117,227,0,1,227,0
234,118,230,0,1,231,230
235,118,231,0,1,231,0
236,119,64,0,1,65,64
237,119,65,0,1,65,0
238,120,60,0,1,62,60
239,120,62,0,1,62,0
240,121,61,0,1,61,0
241,121,62,0,1,61,62
242,122,210,0,1,211,210
243,122,211,0,1,211,0
244,123,149,0,1,152,149
245,123,152,0,1,152,0
246,124,151,0,1,151,0
247,124,152,0,1,151,152
248,125,150,0,1,150,0
249,125,151,0,1,150,151
250,126,139,0,1,141,139
251,126,141,0,1,141,0
252,127,140,0,1,140,0
253,127,141,0,1,140,141
254,128,145,0,1,146,145
255,128,146,0,1,146,0
256,129,257,0,1,258,257
257,129,258,0,1,258,0
258,130,127,0,1,129,127
259,130,129,0,1,129,0
260,131,128,0,1,128,0
261,131,129,0,1,128,129
262,132,130,0,1,132,130
263,132,132,0,1,132,0
264,133,131,0,1,131,0
265,133,132,0,1,131,132
266,134,207,0,1,209,207
267,134,209,0,1,209,0
268,135,208,0,1,208,0
