Species,Candidate,Rouge_Total,Mimico_Total,Highland_Total,Etob_Total,EastDon_Total,Wshed,Rouge_Per,Mimico_Per,Highland_Per,Etob_Per,EastDon_Per,SID,ALTSID,FID,GENUS,SPECIES,GID,ScientificName,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,SLOWCURR,MODCURR,FASTCURR,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LONGCENTROID,LATCENTROID,LACUSTRINE,LOWLAND,UPLAND,MONTANE,POTANADR,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT,AspRatio
Ambloplites_rupestris,Y,9,1,1,7,1,5,0.12,0.090909091,0.0625,0.291666667,0.03030303,Arupestr,Arupestr,Centrarc,Ambloplites,rupestris,Amblopli,Ambloplites rupestris,168097,rock bass,.,349,1,0,1,1,0,0,0,1,1,0,0,0,43,3,8,11000,0,0,0,0,1,1,1,0,0,0,0,0,0,3,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.5,28.7,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,2204814,14698,1,1993,2413,863228.8707,2268591.432,1,1,1,1,0,0,0,0,0,0,0,0,O,1.05
Ameiurus_nebulosus,N,0,0,1,4,0,2,0,0,0.0625,0.166666667,0,Anebulos,Anebulos,Ictaluri,Ameiurus,nebulosus,Ameiurus,Ameiurus nebulosus,164043,brown bullhead,.,143,1,0,1,0,1,1,1,1,1,0,1,0,55,2.5,11,13000,1,0,0,0,1,0.25,0,0,0,0,0,0,0,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.3,28.1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,2592343,22794,5,2845,3315,1107979.61,2032086.491,1,1,1,0,0,0,0,0,0,0,0,0,O,1.165
Campostoma_anomalum,N,20,0,0,10,1,3,0.266666667,0,0,0.416666667,0.03030303,Canomalu,Canomalu,Cyprinid,Campostoma,anomalum,Camposto,Campostoma anomalum,163508,central stoneroller,.,102,1,0,1,0,1,0,1,1,0,0,1,0,22,2.5,5,4800,0,0,0,0,1,1,0.5,0,0,0,0,0,0,2.5,NC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.9,31.6,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,2722903,13332,2,2556,2818,301654.1632,1829966.81,0,1,1,1,0,0,0,0,0,0,0,0,O,2.11
Carassius_auratus,N,4,0,1,2,1,4,0.053333333,0,0.0625,0.083333333,0.03030303,Cauratus,Cauratus,Cyprinid,Carassius,auratus,Carassiu,Carassius auratus,163350,goldfish,.,102,0,0,1,1,1,1,1,1,0,0,0,0,59,3.5,10,400000,1,0,0,1,1,1,0,0,0,0,0,0,0,3,NC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,O,1.925
Catostomus_commersonii,Y,45,3,13,16,20,5,0.6,0.272727273,0.8125,0.666666667,0.606060606,Ccommers,Ccommers,Catostom,Catostomus,commersonii,Catostom,Catostomus commersonii,553273,white sucker,.,105,1,0,1,0,1,1,1,1,0,0,1,0,64,3,8,50000,0,0,0,0.75,1,0,0,0,0,0,0,0,0,1.75,NC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,8850545,26569,1,4015,4759,203929.0208,2966263.716,1,1,1,1,0,0,0,0,0,0,0,0,O,1.59
Chrosomus_eos,N,4,0,0,1,1,3,0.053333333,0,0,0.041666667,0.03030303,Peos,Peos,Cyprinid,Phoxinus,eos,Phoxinus,Phoxinus eos,163592,northern redbelly dace,Chrosomus eos,102,1,0,1,1,1,0,0,1,0,0,0,0,8,1.5,3,800,1,0,0,0,0,0.5,1,1,0.5,0,0,0,0,3,WI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2643595,17751,3,2384,4239,164783.7855,2908675.48,1,1,1,0,0,0,0,0,0,0,0,0,O,1.15
Clinostomus_elongatus,N,13,0,0,0,1,2,0.173333333,0,0,0,0.03030303,Celongat,Clelonga,Cyprinid,Clinostomus,elongatus,Clinosto,Clinostomus elongatus,163373,redside dace,.,102,1,0,1,1,0,0,0,1,0,0,0,0,12,2,4,1526,0,0,0,0,0,1,0,0,0,0,0,0,0,1,WI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-555,-555,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,375595,5679,1,836,1581,5555555.556,5555555.556,0,0,1,0,0,1,3,1,0,0,1,0,O,0.96
Cottus_bairdii,N,8,0,0,1,4,3,0.106666667,0,0,0.041666667,0.121212121,Cbairdii,Cbairdii,Cottidae,Cottus,bairdii,Cottus,Cottus bairdii,167237,mottled sculpin,.,320,1,0,1,1,0,1,0,1,1,0,1,0,15,2,6,176,0,0,0,0.75,0.5,0,0,0,0,0,0,0,0,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-999,-999,-555,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3849031,19297,8,2919,3996,625596.4969,2707835.332,1,0,1,1,0,1,4,0,0,0,0,0,O,1.18
Culaea_inconstans,Y,32,4,2,3,2,5,0.426666667,0.363636364,0.125,0.125,0.060606061,Cinconst,Cinconst,Gasteros,Culaea,inconstans,Culaea,Culaea inconstans,166399,brook stickleback,.,291,1,0,1,1,1,0,0,1,0,0,1,0,8.7,1,2.5,250,0,0,0,0,1,1,0.5,0,0,0,0,0,0,2.5,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-999,-999,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,4881975,20657,2,4049,4147,153407.3803,3065697.341,1,1,1,0,0,0,0,0,0,0,0,0,O,1.52
Cyprinidae,N,4,2,0,1,3,4,0.053333333,0.181818182,0,0.041666667,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
